,گروه کالا1,گروه کالا2,support,ضریب اطمینان,lift
0,['200007.0'],['200064.0'],0.010869565217391304,0.3333333333333333,4.3809523809523805
1,['200064.0'],['200007.0'],0.010869565217391304,0.14285714285714285,4.3809523809523805
2,['200009.0'],['200062.0'],0.03260869565217391,0.75,6.9
3,['200062.0'],['200009.0'],0.03260869565217391,0.3,6.9
4,['200009.0'],['200063.0'],0.010869565217391304,0.25,2.875
5,['200063.0'],['200009.0'],0.010869565217391304,0.125,2.875
6,['200009.0'],['200064.0'],0.010869565217391304,0.25,3.2857142857142856
7,['200064.0'],['200009.0'],0.010869565217391304,0.14285714285714285,3.2857142857142856
8,['200009.0'],['200068.0'],0.010869565217391304,0.25,2.875
9,['200068.0'],['200009.0'],0.010869565217391304,0.125,2.875
10,['200048.0'],['200053.0'],0.010869565217391304,0.16666666666666666,5.111111111111111
11,['200053.0'],['200048.0'],0.010869565217391304,0.3333333333333333,5.111111111111111
12,['200048.0'],['200055.0'],0.010869565217391304,0.16666666666666666,5.111111111111111
13,['200055.0'],['200048.0'],0.010869565217391304,0.3333333333333333,5.111111111111111
14,['200048.0'],['200068.0'],0.021739130434782608,0.3333333333333333,3.833333333333333
15,['200068.0'],['200048.0'],0.021739130434782608,0.25,3.8333333333333335
16,['200048.0'],['200074.0'],0.010869565217391304,0.16666666666666666,15.333333333333332
17,['200074.0'],['200048.0'],0.010869565217391304,1.0,15.333333333333334
18,['200049.0'],['200051.0'],0.010869565217391304,0.5,23.0
19,['200051.0'],['200049.0'],0.010869565217391304,0.5,23.0
20,['200049.0'],['200062.0'],0.010869565217391304,0.5,4.6000000000000005
21,['200062.0'],['200049.0'],0.010869565217391304,0.1,4.6000000000000005
22,['200050.0'],['200051.0'],0.010869565217391304,0.16666666666666666,7.666666666666666
23,['200051.0'],['200050.0'],0.010869565217391304,0.5,7.666666666666667
24,['200050.0'],['200057.0'],0.010869565217391304,0.16666666666666666,5.111111111111111
25,['200057.0'],['200050.0'],0.010869565217391304,0.3333333333333333,5.111111111111111
26,['200050.0'],['200066.0'],0.010869565217391304,0.16666666666666666,7.666666666666666
27,['200066.0'],['200050.0'],0.010869565217391304,0.5,7.666666666666667
28,['200050.0'],['200068.0'],0.021739130434782608,0.3333333333333333,3.833333333333333
29,['200068.0'],['200050.0'],0.021739130434782608,0.25,3.8333333333333335
30,['200051.0'],['200057.0'],0.010869565217391304,0.5,15.333333333333334
31,['200057.0'],['200051.0'],0.010869565217391304,0.3333333333333333,15.333333333333332
32,['200051.0'],['200062.0'],0.010869565217391304,0.5,4.6000000000000005
