,date,value,flag,MA5,MA20
109,7/24/2018,727901523,past,753490835.6,743356871.5
110,7/25/2018,974061067,past,909436849,752361958.7
111,7/26/2018,1319220400,past,1000716157,811701628.7
112,7/27/2018,850000,past,800307824.6,770479994
113,7/28/2018,951983596,past,794803317.2,773582121.6
114,7/29/2018,861132948,past,821449602.2,781109285.7
115,7/30/2018,841556599,past,794948708.6,796628722.7
116,7/31/2018,1148304396,past,760765507.8,813752427.4
117,8/1/2018,1212216119,past,1003038732,834176864.3
118,8/2/2018,989405789,past,1010523170,878107003.7
119,8/4/2018,1024999277,past,1043296436,890115401.2
120,8/5/2018,1201534451,past,1115292006,895137270.4
121,8/6/2018,1248291389,past,1135289405,921449304
122,8/7/2018,716760762,past,1036198334,906865854.7
123,8/8/2018,1043565615,past,1047030299,908691329.3
124,8/9/2018,1014074767,past,1044845397,915770567.7
125,8/10/2018,75573000,past,819653106.6,909832667.7
126,8/11/2018,937720951,past,757539019,913577522.1
127,8/12/2018,1058754250,past,825937716.6,916370651.6
128,8/13/2018,1131017182,past,843428030,923946204.1
129,8/14/2018,916714949,past,823956066.4,933386875.4
130,8/15/2018,1134066778,past,1035654822,941387160.9
131,8/16/2018,1196923650,past,1087495362,935272323.4
132,8/18/2018,1148539934,past,1105452499,992656820.1
133,8/19/2018,1169638428,past,1113176748,1003539562
134,8/20/2018,1319931454,past,1193820049,1026479487
135,8/21/2018,952286078,past,1157463909,1032015961
136,8/22/2018,1124092345,past,1142897648,1030805358
137,8/23/2018,1084651945,past,1130120050,1024427150
138,8/25/2018,1524763712,past,1201145107,1051195046
139,8/26/2018,1442435889,past,1225645994,1072066876
140,8/27/2018,1438863140,past,1322961406,1083933311
141,8/28/2018,1308324923,past,1359807922,1086934988
142,8/29/2018,1877156866,past,1518308906,1144954793
143,8/30/2018,1457908895,past,1504937943,1165671957
144,8/31/2018,146550000,past,1245760765,1122295718
145,9/1/2018,1738395992,past,1305667335,1205436868
146,9/2/2018,1424158632,past,1328834077,1229758752
147,9/3/2018,1344742640,past,1222351232,1244058172
148,9/4/2018,1908236778,past,1312416808,1282919151
149,9/5/2018,1658255915,past,1614757991,1319996200
150,9/6/2018,1588434672,past,1584765727,1342714594
151,9/7/2018,79250000,past,1315784001,1286830912
152,9/8/2018,1382732641,past,1323382001,1298540547
153,9/9/2018,1502973363,past,1242329318,1315207294
154,9/10/2018,1243144483,past,1159307032,1311367945
155,9/11/2018,1529647133,past,1147549524,1340235998
156,9/12/2018,1139282079,past,1359555940,1340995485
157,9/13/2018,1610310766,past,1405071565,1367278426
158,9/14/2018,94215556,past,1123320003,1295751018
159,9/15/2018,1746611392,past,1224013385,1310959793
160,9/16/2018,1852125382,past,1288509035,1331622905
161,9/17/2018,1372470721,past,1335146763,1334830195
162,9/18/2018,2522271144,past,1517538839,1367085909
163,9/19/2018,1260000,past,1498947728,1294253464
164,9/20/2018,10480000,past,1151721449,1287449964
165,9/21/2018,52200000,past,791736373,1203140165
166,9/22/2018,858287444,past,688899717.6,1174846605
167,9/23/2018,1263686798,past,437182848.4,1170793813
168,9/24/2018,1173270604,past,671584969.2,1134045505
169,9/25/2018,960385282,past,861566025.6,1099151973
170,9/26/2018,1077190124,past,1066564050,1073589746
171,9/27/2018,1357964194,past,1166499400,1137525455
172,9/29/2018,1065997962,past,1126961633,1121688721
173,9/30/2018,1384577394,past,1169222991,1115768923
174,10/1/2018,1334456232,past,1244037181,1120334510
175,10/2/2018,1711645913,past,1370928339,1129434449
176,10/3/2018,1071277550,past,1313591010,1126034223
177,10/4/2018,1143986888,past,1329188795,1102718029
178,10/5/2018,64655000,past,1065204317,1101240001
179,10/6/2018,1125221838,past,1023357438,1070170524
180,10/7/2018,1224747182,past,925977691.6,1038801614
181,10/8/2018,1778082375,past,1067338657,1059082196
182,10/9/2018,857046757,past,1009950630,975820976.9
183,10/10/2018,1398406943,past,1276701019,1045678324
184,10/11/2018,1287251836,past,1309107019,1109516916
185,10/12/2018,3310000,past,1064819582,1107072416
186,10/13/2018,1541630180,past,1017529143,1141239553
187,10/14/2018,1192684278,past,1084656647,1137689427
188,10/15/2018,1107490323,past,1026473323,1134400413
189,10/16/2018,1314420792,past,1031907115,1152102188
190,10/17/2018,1073952896,past,1246035694,1151940327
191,10/18/2018,1293073249,past,1196324308,1148695779
192,10/19/2018,1560000,past,958099452,1095473881
193,10/20/2018,1095968499,past,955795087.2,1081043437
194,10/21/2018,1921461774,past,1077203284,1110393714
195,10/22/2018,1061815177,past,1074775740,1077902177
196,10/23/2018,1716875739,past,1159536238,1110182086
197,10/24/2018,1602726122,past,1479769462,1133119048
198,10/25/2018,1202706854,past,1501117133,1190021641
199,10/26/2018,62800000,past,1129384778,1136900549
200,10/27/2018,1516319112,past,1220285565,1151479145
201,10/28/2018,1438096570,past,1164529732,1134479855
202,10/29/2018,1346109227,past,1113206353,1158932979
203,10/30/2018,719967495,past,1016658481,1125011006
204,10/31/2018,1083585730,past,1220815627,1114827701
205,11/1/2018,1667531897,past,1251058184,1198038796
206,11/2/2018,1280000,past,963694869.8,1121021287
207,11/3/2018,1277896200,past,950052264.4,1125281883
208,11/4/2018,1637423532,past,1133543472,1151778543
209,11/5/2018,1720419732,past,1260910272,1172078490
210,11/6/2018,3078277182,past,1543059329,1272294705
211,11/7/2018,210280000,past,1584859329,1218155042
212,11/8/2018,145900000,past,1358460089,1225372042
213,11/9/2018,210000,past,1031017383,1170584117
214,11/10/2018,1383383605,past,963610157.4,1143680209
215,11/11/2018,1814184488,past,710791618.6,1181298674
216,11/12/2018,1586480712,past,986031761,1174778923
217,11/13/2018,1088923913,past,1174636544,1149088812
218,11/14/2018,1549523299,past,1484499203,1166429635
219,11/15/2018,1554398961,past,1518702275,1241009583
220,11/16/2018,131250000,past,1182115377,1171756127
221,11/17/2018,1261330575,past,1117085350,1162917827
222,11/18/2018,1743417914,past,1247984150,1182783262
223,11/19/2018,1305481927,past,1199175875,1212058983
224,11/20/2018,1911582392,past,1270612562,1253458816
225,11/21/2018,1567402443,past,1557843050,1248452344
226,11/22/2018,2114029416,past,1728382818,1354089815
227,11/23/2018,281808000,past,1436060836,1304285405
228,11/24/2018,1921377153,past,1559239881,1318483086
229,11/25/2018,1477252639,past,1472373930,1306324731
230,11/26/2018,1153590979,past,1389611637,1210090421
231,11/27/2018,1365800834,past,1239965921,1267866463
232,11/28/2018,1295561895,past,1442716700,1325349557
233,11/29/2018,1726647854,past,1403770840,1411671450
234,12/1/2018,1402428874,past,1388806087,1412623713
235,12/2/2018,1943017964,past,1546691484,1419065387
236,12/3/2018,1196680786,past,1512867475,1399575391
237,12/4/2018,1238331396,past,1501421375,1407045765
238,12/5/2018,1614534275,past,1478998659,1410296314
239,12/6/2018,1592748226,past,1517062529,1412213777
240,12/7/2018,162590000,past,1160976937,1413780777
241,12/8/2018,1149319786,past,1151504737,1408180238
242,12/9/2018,1462105830,past,1196259623,1394114633
243,12/10/2018,1174776947,past,1108308158,1387579384
244,12/11/2018,1087945116,past,1007347536,1346397521
245,12/12/2018,1567814517,past,1288392439,1346418124
246,12/13/2018,1820239701,past,1422576422,1331728639
247,12/15/2018,1309954790,past,1392146214,1383135978
248,12/16/2018,1440377362,past,1445266297,1359085989
249,12/17/2018,1435540914,past,1514785457,1357000402
250,12/18/2018,1611851732,past,1523592900,1379913440
251,12/19/2018,1646127141,past,1488770388,1393929755
252,12/20/2018,1927390995,past,1612257629,1425521210
253,12/21/2018,500000,past,1324282156,1339213818
254,12/22/2018,1110937365,past,1259361447,1324639242
255,12/23/2018,1199960780,past,1176983256,1287486383
256,12/24/2018,1316645923,past,1111087013,1293484640
257,12/25/2018,1080789528,past,941766719.2,1285607546
258,12/26/2018,1198719530,past,1181410625,1264816809
259,12/27/2018,1746826379,past,1308588428,1272520717
260,12/29/2018,1133030218,past,1295202316,1321042728
261,12/30/2018,1532565677,past,1338386266,1340205022
262,12/31/2018,1062839152,past,1334796191,1320241688
263,1/1/2019,1164880444,past,1328028374,1319746863
264,1/2/2019,1504784993,past,1279620097,1340588857
265,1/3/2019,1502669585,past,1353547970,1337331610
266,1/5/2019,1236123804,past,1294259596,1308125816
267,1/6/2019,1700805110,past,1421852787,1327668332
268,1/7/2019,1157304266,past,1420337552,1313514677
269,1/8/2019,1126291607,past,1344638874,1298052211
